id:id,:LABEL
"12744", organization
"143129355",organization
"7775",organization
"1017141",organization
"2591586",organization
"185040354",organization
"341411",organization
"21323516",organization
"8561",organization
"853949688",organization
"650512",organization
"8",organization
"128692",organization
"172711",organization
"14253815",organization
"4369922c-ce1d-40ff-904c-1f6a3000bf6b",location
"506",organization
"4937447",organization
"2079436",organization
"589",organization
"da0a7bbb-5bd1-42aa-bcc0-b8923d5c15d4",location
"967900443",organization
"1",organization
"445a6124-4650-4e5a-83bb-a0e0b4040ee9",location
"4",organization
"4975",organization
"7282284",organization
"0",organization
"196159",organization
"755",organization
"860067396",organization
"664738735",organization
"290834957",organization
"457009514",organization
"6043477",organization
"526269",organization
"77b46bc7-7e31-41a0-973c-e633011d21b0",location
"7",organization
"35",organization
"6406040",political_organization
"99575926",organization
"72371354",political_organization
"55",organization
"766649",political_organization
"955425",organization
"132",organization
"8701038",organization
"9067",organization
"750975",organization
"3404599",organization
"85117949",political_organization
"3506021",organization
"348079",political_organization
"78",political_organization
"95",organization
"245",organization
"300668979",organization
"651",organization
"7845",political_organization
"265700083",organization
"47679",organization
"d0123474-8425-4ab0-90d5-175920158638",location
"425887173",organization
"86597",organization
"405ab2a5-68f0-4304-ab94-24c7995a248e",location
"44842",political_organization
"e2b334d9-4d51-40b2-a7b1-441b88400b75",location
"68",political_organization
"610",organization
"4063",organization
"740523",organization
"Marine",vessel
"91dcf36d-dba8-41e8-a4cc-912981a27296",location
"69150209",organization
"2",organization
"72",organization
"35881",organization
"06430a2c-805a-4a76-bbda-2a24c0c860d7",location
"490653",political_organization
"888",political_organization
"775298545",organization
"26676370",organization
"Viking fishing",vessel
"44956",organization
"3",political_organization
"5",organization
"0715f2ea-3d11-4eaa-a0c4-fb3290896531",location
"hours",movement
"7298083",organization
"21",organization
"6",organization
"9",organization
"14bda3bb-9993-4265-97cc-1747808c144e",location
"8698",organization
"964",organization
"2262",organization
"93873119",organization
"602ea158-0519-47fc-badc-787721580418",location
"e40c01a4-8ed5-400f-857d-31e7bd263e35",location
"49494",organization
"551",organization
"380",organization
"f20779bf-63b5-4ea4-bb5f-944bb9449bce",location
"349",organization
"97453782",organization
"71835024",organization
"78590886",organization
"7209",organization
"79139",organization
"78135",organization
"5810",organization
"704138011",organization
"84616",organization
"66538530",organization
"12731",organization
"ee05a28e-82ba-4f1d-a60f-68797a422ada",location
"82344",political_organization
"58",organization
"76",organization
"6731",organization
"83",organization
"665",organization
"89772543",organization
"aea12579-8802-4b2d-b432-fc35fe4d10d5",location
"a7948099-0cab-4b80-8707-2ada931ac288",location
"12",organization
"27",organization
"3b728c8f-1eaa-4f16-8c63-d3bcffd437bb",location
"498817",organization
"2989",organization
"967",organization
"df42b319-be6a-4a2e-b11d-c4da7ecfc01c",location
"185106",organization
"947",organization
"4348721",organization
"USS Hershel",vessel
"b20c0baf-8530-4a84-a5b6-8da324ebebdb",location
"26",organization
"21538",organization
"860600018",organization
"237659945",organization
"USCGC Spencer",vessel
"WMEC",vessel
"435054320",organization
"Cutter",vessel
"f21800ca-b3c9-404b-8438-3d75ea84c409",location
"1560",organization
"68703341",organization
"57",political_organization
"6046437",political_organization
"03b6c1a6-dcd8-462f-9a7e-bf9ea7e0a987",location
"Act",event
"9a651d73-d88f-4f9c-9497-7321ef575c6f",location
"36351742-aff4-4df7-a495-1f1f2c94127a",location
"301",organization
"9203",organization
"3878194",organization
"months years",event
"water fishing",vessel
"months",movement
"94",organization
"e85c691a-2adc-4094-8d29-5ea328486951",location
"760079",organization
"3009706",organization
"41870892-4565-42cd-9374-8665d01e9aa9",location
"80191",organization
"0f5fd4f9-1683-464e-9459-a4488de5064b",location
"cookies",event
"924",organization
"865275",organization
"449308",organization
"28",organization
"23777",organization
"518",organization
"426469",organization
"6064a564-2a82-44b7-8614-3a33f25e41ba",location
"3cda9d0b-77af-4e85-bef8-e935ca55ea06",location
"494197",organization
"200640636",organization
"23",organization
"144431",organization
"26261586",organization
"15910405",organization
"7361",organization
"85052185",organization
"48605",organization
"c73572b6-7b24-49e7-8f52-11cf8ec3c7d2",location
"8412071",organization
"439861274",organization
"908724",organization
"653505420",political_organization
"5848",organization
"15785056",organization
"733",organization
"277983365",organization
"26431",organization
"6d249c4d-1f62-4ab2-b107-8fd978f115c7",location
"3785",organization
"164575",organization
"âŠ",event
"1396",organization
"235866056",organization
"d5b94ebc-e03a-438e-872b-a15db349a748",location
"486",organization
"arts",event
"49048884",political_organization
"9612243",organization
"737205",organization
"April",event
"5705060",organization
"959",organization
"883320938",organization
"2198",organization
"41398ea8-d14a-4666-80e8-6a212684d871",location
"40690",organization
"e836e8c3-a45e-4225-870d-d3e8dbc62c26",location
"743225",organization
"4783",organization
"ten",event
"e2816018-e01c-4eac-8dc5-e84aebc22cff",location
"529",organization
"47924922",organization
"49",organization
"12845006",political_organization
"9488645",organization
"371bf15a-3000-499a-88e4-cc096b028ec7",location
"913428",political_organization
"d7f220de-bba2-4965-9c15-3dd38ef5c3c7",location
"53073557",organization
"34",organization
"31408",organization
"28064",organization
"ae16dd9b-0271-4699-91bc-0ce6b69357c6",location
"e31b2b9c-3197-4c2c-ac40-3c6711a4682b",location
"5a52675e-1243-4244-ad55-85a06c4408de",location
"8153f5cb-e1f7-49bb-91bb-24b3a296a40a",location
"70873",organization
"Ship2Report",vessel
"90562",organization
"b28d568f-09b4-41bd-b04d-4cf255f1adc6",location
"410",organization
"47562016",organization
"87940",organization
"5639000",organization
"5372",organization
"951093",organization
"86590543",organization
"217fe70e-cc2d-4899-9127-e0a7da182699",location
"304",organization
"672",organization
"02cd44a1-7945-40d9-b38f-56f70976582c",location
"7950",organization
"44",organization
"41",organization
"2125",organization
"1076f239-831c-4c53-9134-484c8f2d5c73",location
"9e2e5adf-b6aa-4e7f-9af1-a899ceccfba6",location
"59",organization
"46510923",organization
"pilot",vessel
"9699687",organization
"31",organization
"4526320",organization
"98748",organization
"50",organization
"5495",organization
"454",political_organization
"83818120",organization
"8327",organization
"222848436",organization
"Amphibious Warships",vessel
"weeks",movement
"40213337",organization
"cutters",vessel
"Coast",vessel
"7505050",organization
"Today",event
"June year",event
"8787",organization
"218",political_organization
"88149",political_organization
"175",organization
"7691",organization
"98332",organization
"78565892",organization
"df365f60-c399-42f5-ad38-736145edef5e",location
"4146760",organization
"812740593",organization
"4764109",organization
"761",organization
"a7d22b55-872d-4fc0-b1ea-935f63ce0d2a",location
"water",vessel
"9786",organization
"Last",event
"897",organization
"5961c4ed-5c5b-40e4-b0ab-1e0217cb12c0",location
"d3243667-8978-454b-917e-530ab514fcb0",location
"2243528",organization
"693c9865-5633-40a1-bcb6-3f0dd68a41c4",location
"544344",organization
"2056",organization
"95219",organization
"579919",organization
"Ocean Tuna",vessel
"262157542",organization
"46194",organization
"826273",organization
"951",organization
"911",organization
"9204971",organization
"2230601",organization
"10",event
"Explorer",vessel
"1a069318-6dc0-45d0-9948-7b846f61c201",location
"79513661-4dbe-4797-a73a-e53177f7a4b3",location
"36295",organization
"a7a35f33-3e72-44f2-a51b-922e44da23bc",location
"âsquids",event
"âclams",event
"Octopus",event
"60253",organization
"109746",organization
"13015105",organization
"37e46ce7-3cfa-4805-a254-5549adf19805",location
"b4caf8cd-dbc7-4c99-9f2b-de407274c08b",location
"38b72863-eaf3-4270-a213-d9ddaee2c6cb",location
"410af01b-a5fb-4d6c-946d-a48fea30332b",location
"âSocioeconomic",event
"553309",organization
"515270",organization
"09e2222b-c13c-4a94-b1d9-b79238be0788",location
"704",political_organization
"4b6a1701-93c3-403c-bd2f-9684106e8bba",location
"c1aeee2d-0030-4d85-b45c-ac3fd9887b98",location
"42aea61e-a98f-4528-9f30-51624ecf3957",location
"1334578",organization
"7670",organization
"43",organization
"conjunction",movement
"OE23",event
"3601920",organization
"435978092",organization
"22a2062d-03d8-48c3-9e91-9e5930b8d29f",location
"ab195b55-453e-4436-ab0c-9f5660b4ec8c",location
"5441",organization
"199442",organization
"903",political_organization
"829",organization
"995899",organization
"47249",organization
"23399545",organization
"621",political_organization
"7023",political_organization
"13863",organization
"35683821",organization
"1465792",organization
"366",organization
"19386200",organization
"85946",organization
"172114",organization
"657",organization
"87339689",organization
"522017227",organization
"29",political_organization
"327481624",political_organization
"cf651b3c-4e21-458c-91c4-3cae2eb36bcb",location
"17c99d9d-7049-4ebb-8a2a-f3d39cc42870",location
"760402",organization
"Water",vessel
"737137552",organization
"77bfcfcd-af2c-4b58-8a99-871a6c6109f2",location
"25875c2e-ff9a-4669-bad7-2c84bafb7515",location
"11960055",organization
"ce0d446c-d08d-49a8-8aa2-e625ead63d0c",location
"25423",organization
"abcb0d9c-80da-4491-99f3-e093984f5373",location
"6ae0d6bb-b101-4905-8b41-86b10a580c82",location
"874124852",organization
"05ef2661-6f3a-4f37-83e7-2ec8352afaef",location
"2ef60e7b-4914-4dbd-a063-5b23143fe5db",location
"2633692",political_organization
"fc4e853f-6e18-4631-bf95-f70d6a30579f",location
"6c7a8222-efc7-41a6-809a-043b091ae04a",location
"451",organization
"705283b0-cdb7-4f0a-8481-b3fea243a8e5",location
"30295c76-f2c6-4284-89fd-8f8fd082889b",location
"Gulf",vessel
"Boat",vessel
"767368152",organization
"6d887b98-7c48-4a82-98bb-2f50fe4b29d5",location
"salmon",vessel
"4e872202-1d65-4183-80c9-e8c12c8f736e",location
"4382",organization
"7320771",organization
"94760735",organization
"969",political_organization
"86dc0f8c-7305-4c1e-b655-cf16eefd6fce",location
"8164acdd-514f-4e18-867c-4bc63cebf15b",location
"a7f76d84-4ccf-424a-9bf9-fc20b862b7a8",location
"142",organization
"3183",organization
"802113",organization
"372016989",organization
"50335cc3-71d6-4803-baca-5faaecfc33cb",location
"e8036bce-0679-41d2-aa7b-d444163ae65a",location
"aa1f466d-d060-40fa-ab0e-3f8bb2ca940f",location
"25652724",organization
"430",organization
"f402c1d2-8262-4bae-aa92-c8675a7006fc",location
"49729",organization
"9209373",organization
"dff423b9-cf9a-4b0a-849f-ecb513924287",location
"993137821",organization
"2421",organization
"7413",organization
"43185",political_organization
"937182447",organization
"861",organization
"883290144",organization
"859375359",organization
"47967ccc-0e26-458d-b1e5-80e8668db714",location
"7056336",organization
"36322",organization
"52",organization
"c9b9c344-98ec-40b8-af05-8528e5d82534",location
"42603647",organization
"8544797",organization
"5070599",organization
"8966",organization
"39",organization
"Plastic",vessel
"927244",organization
"e53552bc-174b-4799-b96b-c23cfa0731cb",location
"9166",organization
"19",vessel
"48",organization
"87ea830d-be41-4317-8b1b-142f23da70d7",location
"662118",organization
"45",organization
"c14a3dc1-59d0-4b92-b9f3-331e51912787",location
"505943",organization
"90183",organization
"79538",organization
"43685541",organization
"7871",organization
"7247721",organization
"22",organization
"cefaf8b3-3aa2-4c59-b4aa-7974c8e1fe32",location
"normal",movement
"ede1806c-b3d1-47f5-ba49-d948d6ec385a",location
"36",organization
"52e9a600-9d6f-4683-95be-c7c60c57ffe1",location
"8609",organization
"40952",political_organization
"27641046",organization
"e167b40a-96f4-40e0-873b-78950e4434f4",location
"324989705",organization
"5415",organization
"9473",organization
"52093e45-b873-4300-9612-8dfc291b1339",location
"46aadaa6-fb30-4474-a060-3adb689f4189",location
"8c53a730-3aa1-463f-aef6-999a3cfbfb70",location
"528",organization
"ae88562c-5c39-4c15-b128-b4f67f5e5812",location
"2ceda972-c633-4a88-bbe8-a4fe48cb5555",location
"890",organization
"762833",organization
"Spy",vessel
"228",political_organization
"63",political_organization
"84",organization
"22150",political_organization
"âregions",event
"7529",organization
"90254947",organization
"591787",organization
"555217629",organization
"23550059-88d4-4a69-b74e-3c7de8bf56de",location
"âpoint",event
"1196cfc8-175c-465b-aee9-fbf74c81aa49",location
"87",organization
"NiÃ±o",event
"21e68e53-183c-45a0-9805-68c099d4d9c0",location
"embaÃºba",event
"âSwiss",event
"days",movement
"38111",organization
"66030248",organization
"20571414",organization
"31894357",organization
"1225",organization
"363355",organization
"387674",organization
"981038",political_organization
"âThese",event
"e678510b-947d-455a-8eb0-44d1009682ec",location
"ad8fe467-3759-4f53-bf6a-896a237d187f",location
"Leng 999 Gal",vessel
"1402",organization
"a0deebdf-db0c-4aa8-91b6-0536e017c20f",location
"25125567",organization
